Tree species,Yield class,Age,Main crop after thinning number of trees,Main crop after thinning top height (m),Main crop after thinning mean diameter (cm),Main crop after thinning basal area (m2),Main crop after thinning volume in cubic meters to top diameters of 7cm,Main crop after thinning volume in cubic meters to top diameters of 18cm,Main crop after thinning volume in cubic meters to top diameters of 24cm,Yield from thinnings number of trees,Yield from thinnings mean diameter (cm),Yield from thinnings mean volume per tree (m3),Yield from thinnings volume in cubic meters to top diameters of 7cm,Yield from thinnings volume in cubic meters to top diameters of 18cm,Yield from thinnings volume in cubic meters to top diameters of 24cm,Cumulative production basal area (m2),Cumulative production volume to 7cm (m3),Increment CAI basal area (m2),Increment CAI volume to 7cm (m3),Increment MAI volume to 7cm (m3)
Poplar,10,20,185,23.4,23.4,17.6,150,137,109,0,0,0,0,0,0,17.6,150,1.26,14,7.5
Poplar,10,25,185,27,27,23.8,223,212,188,0,0,0,0,0,0,23.8,223,1.17,14.1,8.9
Poplar,10,30,185,29.8,29.8,29.2,291,281,260,0,0,0,0,0,0,29.2,291,0.99,12.6,9.7
Poplar,10,35,185,32,32,33.7,350,340,319,0,0,0,0,0,0,33.7,350,0.8,10.7,10
Poplar,10,40,185,33.6,33.6,37.3,398,389,368,0,0,0,0,0,0,37.3,398,0.64,8.7,9.9
Poplar,10,45,185,34.7,34.7,40.1,437,427,406,0,0,0,0,0,0,40.1,437,0.49,6.8,9.7
Poplar,10,50,185,35.6,35.6,42.2,466,456,435,0,0,0,0,0,0,42.2,466,0.37,5.2,9.3
Poplar,10,55,185,36.2,36.2,43.8,488,479,457,0,0,0,0,0,0,43.8,488,0.28,4,8.9
Poplar,10,60,185,36.7,36.7,45,505,495,474,0,0,0,0,0,0,45,505,0.19,2.9,8.4
Poplar,8,10,185,12,17.4,4.4,22,5,0,0,0,0,0,0,0,4.4,22,0.78,6.3,2.2
Poplar,8,15,185,16.9,24.9,9,62,43,17,0,0,0,0,0,0,9,62,0.99,9.3,4.1
Poplar,8,20,185,21.2,31.4,14.3,115,100,70,0,0,0,0,0,0,14.3,115,1.06,11.2,5.8
Poplar,8,25,185,24.6,36.7,19.6,174,162,135,0,0,0,0,0,0,19.6,174,1,11.5,7
Poplar,8,30,185,27.3,40.9,24.3,230,219,195,0,0,0,0,0,0,24.3,230,0.86,10.5,7.7
Poplar,8,35,185,29.4,44.1,28.2,279,268,247,0,0,0,0,0,0,28.2,279,0.71,9,8
Poplar,8,40,185,30.9,46.5,31.4,319,309,289,0,0,0,0,0,0,31.4,319,0.56,7.4,8
Poplar,8,45,185,32.1,48.3,33.8,352,342,322,0,0,0,0,0,0,33.8,352,0.43,5.7,7.8
Poplar,8,50,185,32.9,49.6,35.7,376,367,346,0,0,0,0,0,0,35.7,376,0.32,4.3,7.5
Poplar,8,55,185,33.5,50.5,37,395,386,365,0,0,0,0,0,0,37,395,0.24,3.3,7.2
Poplar,8,60,185,33.9,51.2,38.1,409,400,379,0,0,0,0,0,0,38.1,409,0.16,2.4,6.8
Poplar,6,10,185,10.2,15.1,3.3,14,1,0,0,0,0,0,0,0,3.3,14,0.6,4.4,1.4
Poplar,6,15,185,14.8,21.6,6.8,42,22,5,0,0,0,0,0,0,6.8,42,0.76,6.8,2.8
Poplar,6,20,185,18.7,27.4,10.9,81,64,33,0,0,0,0,0,0,10.9,81,0.85,8.4,4.1
Poplar,6,25,185,21.9,32.4,15.3,125,111,81,0,0,0,0,0,0,15.3,125,0.82,8.8,5
Poplar,6,30,185,24.4,36.3,19.2,169,156,129,0,0,0,0,0,0,19.2,169,0.72,8.3,5.6
Poplar,6,35,185,26.4,39.3,22.5,208,196,171,0,0,0,0,0,0,22.5,208,0.6,7.2,5.9
Poplar,6,40,185,27.8,41.6,25.1,240,229,206,0,0,0,0,0,0,25.1,240,0.47,5.9,6
Poplar,6,45,185,28.9,43.2,27.2,266,255,233,0,0,0,0,0,0,27.2,266,0.36,4.6,5.9
Poplar,6,50,185,29.7,44.5,28.7,285,275,254,0,0,0,0,0,0,28.7,285,0.27,3.4,5.7
Poplar,6,55,185,30.3,45.3,29.9,300,290,269,0,0,0,0,0,0,29.9,300,0.2,2.6,5.5
Poplar,6,60,185,30.7,46,30.7,311,301,280,0,0,0,0,0,0,30.7,311,0.13,1.9,5.2
Poplar,4,10,185,8.1,11.9,2.1,6,0,0,0,0,0,0,0,0,2.1,6,0.42,2.5,0.6
Poplar,4,15,185,12,17.5,4.4,22,5,0,0,0,0,0,0,0,4.4,22,0.54,4.2,1.5
Poplar,4,20,185,15.5,22.6,7.4,47,28,7,0,0,0,0,0,0,7.4,47,0.62,5.6,2.4
Poplar,4,25,185,18.4,27,10.6,78,60,30,0,0,0,0,0,0,10.6,78,0.63,6.2,3.1
Poplar,4,30,185,20.8,30.7,13.7,109,93,62,0,0,0,0,0,0,13.7,109,0.57,5.9,3.6
Poplar,4,35,185,22.6,33.5,16.3,136,123,93,0,0,0,0,0,0,16.3,136,0.47,5.2,3.9
Poplar,4,40,185,23.9,35.6,18.4,160,147,119,0,0,0,0,0,0,18.4,160,0.37,4.3,4
Poplar,4,45,185,25,37.1,20,179,167,140,0,0,0,0,0,0,20,179,0.29,3.4,4
Poplar,4,50,185,25.7,38.3,21.3,194,182,156,0,0,0,0,0,0,21.3,194,0.22,2.6,3.9
Poplar,4,55,185,26.2,39.1,22.2,204,193,168,0,0,0,0,0,0,22.2,204,0.15,1.9,3.7
Poplar,4,60,185,26.6,39.6,22.8,212,201,176,0,0,0,0,0,0,22.8,212,0.1,1.4,3.5
