Tree species,Yield class,Age,Main crop after thinning number of trees,Main crop after thinning top height (m),Main crop after thinning mean diameter (cm),Main crop after thinning basal area (m2),Main crop after thinning volume in cubic meters to top diameters of 7cm,Main crop after thinning volume in cubic meters to top diameters of 18cm,Main crop after thinning volume in cubic meters to top diameters of 24cm,Yield from thinnings number of trees,Yield from thinnings mean diameter (cm),Yield from thinnings mean volume per tree (m3),Yield from thinnings volume in cubic meters to top diameters of 7cm,Yield from thinnings volume in cubic meters to top diameters of 18cm,Yield from thinnings volume in cubic meters to top diameters of 24cm,Cumulative production basal area (m2),Cumulative production volume to 7cm (m3),Increment CAI basal area (m2),Increment CAI volume to 7cm (m3),Increment MAI volume to 7cm (m3)
Scots Pine,4,75,920,15.3,19.1,26.5,174,60,7,99,16.2,0.141,14,2,0,53.9,286,0.6,5.5,3.8
Scots Pine,4,80,841,15.8,20.4,27.5,186,82,14,79,17.3,0.176,14,3,0,56.8,312,0.53,5.1,3.9
Scots Pine,4,85,780,16.3,21.5,28.3,197,102,22,61,18.3,0.214,13,4,0,59.1,336,0.44,4.5,4
Scots Pine,4,90,737,16.7,22.4,29,207,119,30,43,19.3,0.251,11,4,0,61.2,357,0.37,3.9,4
Scots Pine,4,95,708,17.1,23.3,29.8,217,133,39,29,20.1,0.28,8,3,1,62.9,375,0.31,3.3,4
Scots Pine,4,100,689,17.3,23.8,30.6,226,146,47,19,20.6,0.296,6,3,0,64.3,390,0.26,2.6,3.9
Corsican Pine,20,15,2593,9.2,12,29.2,108,1,0,1127,9.8,0.019,21,0,0,37.7,129,3.08,22.2,8.6
Corsican Pine,20,20,1339,12.5,16,26.9,156,21,0,1254,13,0.056,70,2,0,52.1,247,2.51,24.3,12.3
Corsican Pine,20,25,860,15.7,20,27.1,211,88,13,479,16.7,0.146,70,12,0,62.8,372,2.01,25.8,14.9
Corsican Pine,20,30,625,18.6,24.2,28.7,274,182,62,235,20.6,0.298,70,32,6,72.2,505,1.79,26.7,16.8
Corsican Pine,20,35,490,21.3,28.2,30.7,338,273,153,135,24.8,0.522,70,49,18,80.7,639,1.6,26.4,18.3
Corsican Pine,20,40,402,23.6,32.1,32.5,397,350,252,88,28.8,0.798,70,57,34,88.2,768,1.4,25,19.2
Corsican Pine,20,45,344,25.7,35.5,34.1,454,418,338,58,32.7,1.109,64,57,42,94.6,889,1.2,23,19.7
Corsican Pine,20,50,304,27.6,38.6,35.6,507,478,412,40,36.1,1.432,56,52,43,100.2,999,1.05,21.1,20
Corsican Pine,20,55,276,29.2,41.4,37.2,560,534,479,28,39.3,1.782,48,46,40,105.1,1099,0.94,19.3,20
Corsican Pine,20,60,256,30.6,44,38.9,611,588,541,20,42.2,2.133,42,40,36,109.5,1192,0.85,17.7,19.9
Corsican Pine,20,65,240,31.9,46.3,40.6,658,637,594,16,44.8,2.441,37,36,33,113.5,1276,0.75,16,19.6
Corsican Pine,20,70,227,33,48.5,41.9,699,680,640,13,47.2,2.787,34,33,31,117.1,1351,0.66,14.3,19.3
Corsican Pine,20,75,216,33.9,50.3,43,734,716,677,11,49.3,3.105,33,32,30,120.1,1419,0.59,12.9,18.9
Corsican Pine,20,80,206,34.8,52.1,44,763,747,709,10,51.3,3.484,32,31,29,123,1480,0.52,11.4,18.5
Corsican Pine,18,15,2939,8.6,11.3,29.6,96,0,0,781,9.2,0.018,14,0,0,34.8,110,2.88,19.2,7.4
Corsican Pine,18,20,1506,11.6,15.1,27,140,13,0,1433,12.3,0.044,63,1,0,49.2,217,2.48,22,10.8
Corsican Pine,18,25,964,14.6,18.9,27,191,62,7,542,15.6,0.116,63,7,0,59.6,330,1.95,23.4,13.2
Corsican Pine,18,30,700,17.4,22.8,28.4,248,146,40,264,19.2,0.239,63,22,3,68.7,451,1.72,24.2,15
Corsican Pine,18,35,548,19.9,26.5,30.3,306,232,110,152,23,0.416,63,38,11,76.8,572,1.52,23.9,16.4
Corsican Pine,18,40,449,22.1,30.1,32,361,305,197,99,26.5,0.636,63,48,22,83.9,689,1.31,22.6,17.2
Corsican Pine,18,45,381,24.1,33.3,33.2,409,367,278,68,30.1,0.893,60,51,33,90,798,1.12,20.9,17.7
Corsican Pine,18,50,335,25.9,36.2,34.5,456,422,347,46,33.3,1.173,53,47,36,95.1,898,0.98,19.2,18
Corsican Pine,18,55,304,27.4,38.8,35.9,503,474,410,31,36.3,1.468,45,42,35,99.7,990,0.89,17.7,18
Corsican Pine,18,60,281,28.8,41.2,37.5,549,524,469,23,39,1.739,39,36,32,104,1075,0.81,16.3,17.9
Corsican Pine,18,65,264,30,43.4,39.1,593,570,522,17,41.5,2.067,34,33,29,107.8,1153,0.72,14.8,17.7
Corsican Pine,18,70,250,31,45.3,40.4,631,610,566,14,43.6,2.227,31,30,28,111.2,1222,0.62,13.1,17.5
Corsican Pine,18,75,238,31.9,47,41.3,663,643,601,12,45.5,2.534,30,29,27,114,1284,0.55,11.7,17.1
Corsican Pine,18,80,228,32.7,48.5,42,689,670,630,10,47.1,2.679,29,28,27,116.6,1339,0.48,10.3,16.7
Corsican Pine,16,15,3530,7.9,10.5,30.7,88,0,0,190,8.6,0.024,4,0,0,31.8,93,2.74,16.2,6.2
Corsican Pine,16,20,1747,10.8,13.9,26.5,124,7,0,1783,11.3,0.031,56,0,0,45.4,184,2.38,19.4,9.2
Corsican Pine,16,25,1109,13.5,17.4,26.5,169,37,2,638,14.3,0.088,56,4,0,55.7,286,1.9,20.9,11.4
Corsican Pine,16,30,801,16.1,21,27.8,221,107,21,308,17.5,0.182,56,13,1,64.4,393,1.65,21.7,13.1
Corsican Pine,16,35,623,18.5,24.5,29.4,274,186,67,178,20.9,0.317,56,27,5,72.2,502,1.45,21.5,14.3
Corsican Pine,16,40,510,20.6,27.8,31,323,257,139,113,24.3,0.495,56,37,13,78.9,608,1.26,20.4,15.2
Corsican Pine,16,45,432,22.5,30.8,32.3,367,316,214,78,27.3,0.694,54,42,22,84.8,706,1.09,18.9,15.7
Corsican Pine,16,50,379,24.1,33.5,33.4,409,368,280,53,30.3,0.914,49,42,27,89.8,797,0.94,17.4,15.9
Corsican Pine,16,55,342,25.6,35.9,34.7,450,416,340,37,33,1.132,42,37,28,94.2,880,0.83,16.1,16
Corsican Pine,16,60,316,26.9,38.1,36,492,462,395,26,35.4,1.359,36,33,26,98.2,957,0.75,14.9,16
Corsican Pine,16,65,297,28,40.1,37.4,532,505,446,19,37.7,1.568,31,29,25,101.7,1028,0.67,13.5,15.8
Corsican Pine,16,70,280,29.1,41.8,38.4,566,542,488,17,39.6,1.752,29,27,24,104.8,1092,0.56,11.8,15.6
Corsican Pine,16,75,266,29.9,43.3,39.2,593,570,521,14,41.3,2.015,28,26,24,107.4,1146,0.5,10.4,15.3
Corsican Pine,16,80,254,30.7,44.7,39.8,616,594,549,12,42.9,2.153,27,26,23,109.8,1196,0.44,9.2,14.9
Corsican Pine,14,15,3955,7.2,9.6,28.9,75,0,0,0,0,0,0,0,0,28.9,75,2.56,13.4,5
Corsican Pine,14,20,2151,9.8,12.6,26.6,110,2,0,1804,10.2,0.023,42,0,0,41.4,152,2.26,16.6,7.6
Corsican Pine,14,25,1339,12.4,15.8,26.1,150,19,0,812,12.9,0.06,49,1,0,51.4,241,1.85,18.4,9.6
Corsican Pine,14,30,957,14.8,19,27.2,195,65,7,382,15.7,0.128,49,6,0,59.9,335,1.57,19,11.2
Corsican Pine,14,35,740,17,22.2,28.6,241,135,33,217,18.6,0.226,49,15,1,67.2,430,1.38,18.8,12.3
Corsican Pine,14,40,602,18.9,25.2,30,285,202,80,138,21.6,0.354,49,26,6,73.6,523,1.21,18.2,13.1
Corsican Pine,14,45,507,20.7,28,31.1,325,260,142,95,24.4,0.512,49,33,12,79.3,612,1.05,17.1,13.6
Corsican Pine,14,50,441,22.2,30.5,32.2,362,310,205,66,26.9,0.675,45,35,17,84.2,694,0.91,15.8,13.9
Corsican Pine,14,55,396,23.6,32.7,33.4,400,356,263,45,29.4,0.847,38,32,20,88.4,770,0.78,14.4,14
Corsican Pine,14,60,365,24.9,34.7,34.5,435,397,314,31,31.6,1.019,33,28,20,92,838,0.68,13.1,14
Corsican Pine,14,65,340,25.9,36.5,35.6,469,435,360,25,33.6,1.187,29,26,20,95.2,900,0.6,11.8,13.8
Corsican Pine,14,70,321,26.9,38,36.5,498,467,399,19,35.4,1.347,26,24,20,98,956,0.53,10.6,13.7
Corsican Pine,14,75,304,27.7,39.4,37.1,523,494,432,17,36.9,1.473,25,23,19,100.5,1005,0.47,9.4,13.4
Corsican Pine,14,80,290,28.4,40.7,37.7,543,517,459,14,38.4,1.704,24,23,20,102.8,1050,0.4,8.2,13.1
Corsican Pine,12,15,4046,6.4,8.8,24.8,57,0,0,0,0,0,0,0,0,24.8,57,2.4,11.1,3.8
Corsican Pine,12,20,2762,8.8,11.4,28.4,99,0,0,1284,9.3,0.018,23,0,0,37.1,122,2.22,14.2,6.1
Corsican Pine,12,25,1678,11.2,14.3,26.8,134,9,0,1084,11.6,0.039,42,0,0,47,199,1.8,15.8,7.9
Corsican Pine,12,30,1184,13.4,17.1,27.3,173,34,1,494,14,0.085,42,2,0,55.1,280,1.5,16.4,9.3
Corsican Pine,12,35,908,15.4,19.9,28.3,213,86,13,276,16.5,0.152,42,7,0,62,362,1.3,16.3,10.3
Corsican Pine,12,40,734,17.2,22.6,29.4,252,146,38,174,19,0.24,42,14,2,68.1,442,1.14,15.8,11.1
Corsican Pine,12,45,614,18.8,25.1,30.4,287,202,79,120,21.5,0.35,42,22,5,73.4,519,0.99,15,11.5
Corsican Pine,12,50,530,20.3,27.4,31.2,319,250,130,84,23.8,0.476,40,26,8,78,592,0.86,14,11.8
Corsican Pine,12,55,474,21.6,29.4,32.2,351,293,181,56,26,0.603,34,25,11,82,658,0.75,12.9,12
Corsican Pine,12,60,433,22.7,31.2,33.2,383,333,230,41,27.7,0.722,30,23,13,85.5,720,0.66,11.8,12
Corsican Pine,12,65,403,23.8,32.9,34.3,414,369,275,30,29.6,0.858,26,22,14,88.6,776,0.58,10.7,11.9
Corsican Pine,12,70,379,24.7,34.3,35.1,440,400,313,24,31.2,0.967,24,20,14,91.4,826,0.49,9.4,11.8
Corsican Pine,12,75,358,25.4,35.5,35.5,461,424,343,21,32.6,1.062,22,20,15,93.5,870,0.43,8.2,11.6
Corsican Pine,12,80,341,26.1,36.7,36.1,478,445,370,17,33.9,1.247,22,20,15,95.7,909,0.38,7.2,11.4
Corsican Pine,10,15,4143,5.7,7.8,19.9,39,0,0,0,0,0,0,0,0,19.9,39,2.22,8.9,2.6
Corsican Pine,10,20,3896,7.8,10,30.7,88,0,0,247,8.2,0.011,3,0,0,32,91,2.15,11.5,4.6
Corsican Pine,10,25,2249,9.9,12.4,27,116,2,0,1647,10,0.021,35,0,0,41.4,154,1.72,13,6.1
Corsican Pine,10,30,1547,11.9,14.8,26.8,148,13,0,702,12.1,0.05,35,0,0,49.2,221,1.44,13.7,7.4
Corsican Pine,10,35,1170,13.7,17.3,27.5,182,38,1,377,14.2,0.093,35,2,0,55.8,290,1.23,13.7,8.3
Corsican Pine,10,40,936,15.3,19.6,28.3,215,82,11,234,16.3,0.15,35,5,0,61.5,358,1.07,13.3,8.9
Corsican Pine,10,45,776,16.8,21.8,29,245,132,30,160,18.3,0.22,35,10,1,66.5,423,0.94,12.8,9.4
Corsican Pine,10,50,661,18.2,23.9,29.7,273,178,59,115,20.4,0.305,35,15,3,70.9,485,0.83,12.2,9.7
Corsican Pine,10,55,584,19.4,25.9,30.6,301,221,97,77,22.3,0.402,31,17,4,74.8,545,0.74,11.5,9.9
Corsican Pine,10,60,532,20.5,27.6,31.7,330,260,137,52,24,0.491,26,17,6,78.3,600,0.64,10.4,10
Corsican Pine,10,65,492,21.5,29,32.6,356,294,176,40,25.6,0.575,23,17,7,81.2,649,0.54,9.2,10
Corsican Pine,10,70,460,22.3,30.3,33.3,378,322,211,32,26.8,0.66,21,16,8,83.7,692,0.46,8.2,9.9
Corsican Pine,10,75,433,23,31.5,33.8,397,346,242,27,28.1,0.754,20,16,9,85.8,730,0.41,7.2,9.7
Corsican Pine,10,80,411,23.6,32.6,34.2,411,365,268,22,29.2,0.857,19,16,10,87.8,764,0.35,6.2,9.5
Corsican Pine,8,15,4248,4.8,6.4,13.9,22,0,0,0,0,0,0,0,0,13.9,22,2.04,6.6,1.5
Corsican Pine,8,20,4021,6.6,9.1,25.9,62,0,0,227,0,0,0,0,0,25.9,62,2.12,8.9,3.1
Corsican Pine,8,25,3124,8.5,11,29.5,98,0,0,897,9,0.014,13,0,0,35.1,110,1.66,10.3,4.4
Corsican Pine,8,30,2079,10.3,13,27.7,123,4,0,1045,10.6,0.027,28,0,0,42.5,164,1.37,10.9,5.5
Corsican Pine,8,35,1545,11.9,15.1,27.6,150,14,0,534,12.3,0.053,28,0,0,48.8,219,1.17,11,6.3
Corsican Pine,8,40,1225,13.3,17.1,28.2,177,34,1,320,14,0.088,28,2,0,54.2,274,1.02,10.9,6.9
Corsican Pine,8,45,1012,14.7,19,28.8,203,68,8,213,15.7,0.131,28,3,0,59,328,0.9,10.7,7.3
Corsican Pine,8,50,859,15.9,20.9,29.3,228,108,20,153,17.4,0.182,28,6,0,63.2,381,0.79,10.3,7.6
Corsican Pine,8,55,748,17,22.5,29.9,251,145,38,111,19,0.239,27,9,1,66.9,431,0.7,9.7,7.8
Corsican Pine,8,60,674,18.1,24.1,30.7,275,182,62,74,20.5,0.3,22,10,2,70.2,477,0.62,9,8
Corsican Pine,8,65,620,18.9,25.5,31.6,298,214,89,54,21.8,0.366,20,11,2,73.1,520,0.53,8,8
Corsican Pine,8,70,577,19.7,26.7,32.2,317,242,116,43,23,0.425,18,11,3,75.5,558,0.44,7,8
Corsican Pine,8,75,541,20.4,27.6,32.4,332,262,140,36,24.1,0.474,17,11,4,77.4,590,0.37,6,7.9
Corsican Pine,8,80,512,20.9,28.6,32.8,343,280,161,29,25,0.557,17,12,5,79.2,618,0.32,5.2,7.7
Corsican Pine,6,20,4185,5.3,7.4,17.9,33,0,0,0,0,0,0,0,0,17.9,33,1.82,6.3,1.6
Corsican Pine,6,25,3995,6.9,9.3,27.2,67,0,0,190,0,0,0,0,0,27.2,67,1.62,7.3,2.7
Corsican Pine,6,30,3324,8.3,10.7,30.1,97,0,0,671,8.8,0.013,8,0,0,34.1,105,1.33,7.9,3.5
Corsican Pine,6,35,2368,9.7,12.4,28.4,116,2,0,956,10.1,0.022,21,0,0,40.1,146,1.13,8.3,4.2
Corsican Pine,6,40,1837,11,14,28.4,138,8,0,531,11.4,0.04,21,0,0,45.4,188,1,8.6,4.7
Corsican Pine,6,45,1500,12.1,15.7,28.9,160,19,0,337,12.8,0.062,21,1,0,50.3,231,0.88,8.6,5.1
Corsican Pine,6,50,1266,13.2,17.2,29.5,181,37,1,234,14.1,0.09,21,1,0,54.5,274,0.77,8.4,5.5
Corsican Pine,6,55,1092,14.2,18.7,30,201,62,6,174,15.4,0.12,21,2,0,58.2,315,0.68,8,5.7
Corsican Pine,6,60,967,15.2,20,30.5,221,91,14,125,16.6,0.153,19,3,0,61.5,353,0.6,7.5,5.9
Corsican Pine,6,65,875,16,21.2,31,239,120,24,92,17.7,0.188,17,4,0,64.2,389,0.51,6.7,6
Corsican Pine,6,70,804,16.7,22.3,31.3,254,143,36,71,18.7,0.222,16,5,0,66.5,420,0.42,5.6,6
Corsican Pine,6,75,745,17.3,23.1,31.3,264,161,46,59,19.5,0.253,15,6,1,68.2,445,0.35,4.9,5.9
Corsican Pine,6,80,700,17.7,24,31.5,273,179,59,45,20.3,0.318,14,6,1,70,468,0.3,4.2,5.9
Lodgepole Pine,14,15,2732,8.3,10.6,24,69,0,0,799,8.5,0.017,14,0,0,28.5,83,1.78,14,5.5
Lodgepole Pine,14,20,1485,11.6,13.7,21.8,102,5,0,1247,11.1,0.039,49,0,0,38.4,164,2.04,18.6,8.2
Lodgepole Pine,14,25,1036,14.9,17.5,24.8,157,34,2,449,14.5,0.109,49,4,0,48.9,269,1.87,20.7,10.8
Lodgepole Pine,14,30,777,17.8,20.9,26.7,210,101,19,259,17.7,0.189,49,11,1,57.2,371,1.5,19.4,12.4
Lodgepole Pine,14,35,612,20.3,24.1,27.8,253,167,56,165,20.8,0.295,49,23,4,63.8,463,1.26,17.6,13.2
Lodgepole Pine,14,40,501,22.5,27,28.7,288,223,111,111,23.8,0.438,49,32,10,69.7,547,1.14,16.3,13.7
Lodgepole Pine,14,45,421,24.5,29.9,29.6,318,268,171,80,26.9,0.61,49,38,19,75.2,626,1.05,15.4,13.9
Lodgepole Pine,14,50,362,26.3,32.7,30.4,345,307,227,59,30,0.795,47,40,26,80.3,700,0.97,14.4,14
Lodgepole Pine,14,55,319,28,35.4,31.4,372,342,275,43,33,0.986,42,38,28,84.9,769,0.9,13.4,14
Lodgepole Pine,14,60,286,29.6,38,32.5,399,374,319,33,36.1,1.203,39,36,29,89.3,834,0.88,12.9,13.9
Lodgepole Pine,14,65,262,31.1,40.6,34,426,405,360,24,39.3,1.463,36,34,30,93.7,898,0.86,12.5,13.8
Lodgepole Pine,14,70,242,32.4,43.2,35.5,453,435,397,20,42.4,1.707,34,33,30,98.1,959,0.83,11.6,13.7
Lodgepole Pine,14,75,225,33.8,45.5,36.6,474,458,426,17,45.4,1.864,33,32,30,102,1013,0.8,10.9,13.5
Lodgepole Pine,14,80,211,35,47.9,37.9,496,482,453,14,48.5,2.16,32,32,30,106.1,1068,0.77,10.5,13.3
Lodgepole Pine,12,15,3672,7.4,9.4,25.2,62,0,0,0,0,0,0,0,0,25.2,62,1.66,12,4.1
Lodgepole Pine,12,20,2023,10.3,12,22.8,94,1,0,1649,9.7,0.023,38,0,0,35,131,1.91,15.6,6.6
Lodgepole Pine,12,25,1360,13.3,15,24.2,138,13,0,663,12.3,0.063,42,1,0,44.3,218,1.69,17.4,8.7
Lodgepole Pine,12,30,1001,16,18,25.5,184,47,3,359,15,0.117,42,4,0,51.9,306,1.4,16.9,10.2
Lodgepole Pine,12,35,785,18.3,20.8,26.6,223,104,19,216,17.6,0.195,42,10,1,58.3,387,1.19,15.7,11.1
Lodgepole Pine,12,40,639,20.3,23.4,27.4,256,160,48,146,20.2,0.289,42,18,3,63.8,462,1.05,14.5,11.6
Lodgepole Pine,12,45,535,22.1,25.9,28.2,284,209,92,104,22.7,0.405,42,25,7,68.8,532,0.95,13.6,11.8
Lodgepole Pine,12,50,456,23.8,28.3,28.7,308,249,141,79,25.3,0.534,42,30,12,73.3,598,0.87,12.8,12
Lodgepole Pine,12,55,400,25.4,30.6,29.5,333,285,190,56,27.8,0.674,38,30,16,77.4,660,0.81,12.1,12
Lodgepole Pine,12,60,358,26.8,32.9,30.4,357,319,237,42,30.3,0.826,34,29,19,81.4,719,0.77,11.4,12
Lodgepole Pine,12,65,326,28.2,35.1,31.5,381,349,279,32,32.8,1.003,32,29,21,85.1,774,0.75,10.9,11.9
Lodgepole Pine,12,70,299,29.4,37.2,32.6,403,376,317,27,35.3,1.169,31,28,23,88.8,827,0.71,10.4,11.8
Lodgepole Pine,12,75,276,30.6,39.3,33.6,424,401,350,23,37.8,1.338,30,28,24,92.3,878,0.7,10,11.7
Lodgepole Pine,12,80,257,31.7,41.5,34.8,444,424,380,19,40.4,1.596,29,28,25,95.8,927,0.68,9.4,11.6
Lodgepole Pine,10,15,3754,6.3,8.4,20.7,41,0,0,0,0,0,0,0,0,20.7,41,1.52,10,2.8
Lodgepole Pine,10,20,2733,9,10.7,24.6,83,0,0,1021,8.7,0.014,15,0,0,30.6,98,1.83,12.6,4.9
Lodgepole Pine,10,25,1768,11.6,13.2,24.3,117,4,0,975,10.8,0.036,35,0,0,39,167,1.56,14.3,6.7
Lodgepole Pine,10,30,1294,14,15.7,25.2,155,19,0,474,13,0.074,35,1,0,46.2,240,1.33,14.4,8
Lodgepole Pine,10,35,1013,16.1,18.2,26.2,191,51,4,281,15.2,0.125,35,3,0,52.3,311,1.14,13.6,8.9
Lodgepole Pine,10,40,823,18,20.4,27,222,99,17,190,17.3,0.184,35,7,0,57.6,376,0.98,12.7,9.4
Lodgepole Pine,10,45,688,19.6,22.6,27.6,247,144,38,135,19.4,0.26,35,13,2,62.1,437,0.86,11.8,9.7
Lodgepole Pine,10,50,587,21.1,24.7,28,270,185,69,101,21.5,0.348,35,18,4,66.2,494,0.78,11.2,9.9
Lodgepole Pine,10,55,512,22.5,26.6,28.6,291,221,106,75,23.5,0.443,33,21,6,70,549,0.72,10.6,10
Lodgepole Pine,10,60,458,23.8,28.6,29.3,313,255,147,54,25.5,0.549,30,21,9,73.4,600,0.67,10,10
Lodgepole Pine,10,65,415,25,30.4,30,333,284,186,43,27.4,0.651,28,22,11,76.7,648,0.63,9.4,10
Lodgepole Pine,10,70,380,26.2,32.1,30.8,352,311,224,35,29.4,0.768,27,22,14,79.8,694,0.61,9.1,9.9
Lodgepole Pine,10,75,350,27.3,33.9,31.5,372,226,259,30,31.4,0.887,26,23,16,82.8,739,0.59,8.7,9.9
Lodgepole Pine,10,80,325,28.3,35.6,32.4,388,358,290,25,33.3,1.054,26,23,17,85.7,781,0.57,8.2,9.8
Lodgepole Pine,8,20,3660,7.5,9.5,25.9,65,0,0,0,0,0,0,0,0,25.9,65,1.67,9.8,3.3
Lodgepole Pine,8,25,2515,9.8,11.5,26,99,0,0,1145,9.3,0.018,20,0,0,33.7,119,1.44,11.2,4.8
Lodgepole Pine,8,30,1797,12,13.5,25.7,129,6,0,718,11,0.039,28,0,0,40.3,177,1.21,11.6,5.9
Lodgepole Pine,8,35,1388,13.9,15.5,26.1,150,18,0,409,12.7,0.068,28,1,0,45.8,235,1.04,11.3,6.7
Lodgepole Pine,8,40,1121,15.5,17.4,26.5,186,39,2,267,14.4,0.105,28,2,0,50.7,290,0.91,10.7,7.3
Lodgepole Pine,8,45,938,17,19.2,27.1,210,73,9,183,16.1,0.154,28,4,0,54.9,342,0.79,10,7.6
Lodgepole Pine,8,50,799,18.3,20.9,27.4,230,109,21,139,17.7,0.202,28,7,0,58.6,390,0.71,9.4,7.8
Lodgepole Pine,8,55,692,19.6,22.5,27.6,247,143,37,107,19.3,0.263,28,10,1,62,436,0.65,8.9,7.9
Lodgepole Pine,8,60,617,20.7,24.1,28.1,266,176,60,75,20.9,0.328,25,12,2,65.1,479,0.6,8.5,8
Lodgepole Pine,8,65,558,21.8,25.6,28.7,284,206,87,59,22.4,0.394,23,13,3,68,520,0.55,8,8
Lodgepole Pine,8,70,510,22.8,27,29.2,301,233,116,48,24.9,0.461,22,14,5,70.6,559,0.51,7.5,8
Lodgepole Pine,8,75,469,23.7,28.3,29.6,316,255,145,41,25.3,0.526,21,15,6,73,595,0.49,7.2,7.9
Lodgepole Pine,8,80,435,24.6,29.7,30.1,330,277,175,34,26.7,0.625,21,16,8,75.5,631,0.47,6.9,7.9
Lodgepole Pine,6,20,3785,6,8,19.2,35,0,0,0,0,0,0,0,0,19.2,35,1.5,7.2,1.8
Lodgepole Pine,6,25,3625,7.9,9.8,27.1,74,0,0,160,0,0,0,0,0,27.1,74,1.4,8.2,2.9
Lodgepole Pine,6,30,2624,9.8,11.4,26.5,102,0,0,1001,9.2,0.015,15,0,0,33.2,117,1.13,8.8,3.9
Lodgepole Pine,6,35,1997,11.5,12.9,26.2,125,4,0,627,10.5,0.034,21,0,0,38.4,161,0.97,8.8,4.6
Lodgepole Pine,6,40,1610,12.9,14.2,26.5,148,11,0,387,11.9,0.054,21,0,0,42.9,205,0.84,8.5,5.1
Lodgepole Pine,6,45,1341,14.2,15.9,26.7,168,22,0,269,13.1,0.079,21,1,0,46.7,246,0.72,8,5.5
Lodgepole Pine,6,50,1142,15.4,17.3,26.9,185,39,1,199,14.4,0.106,21,1,0,50.1,284,0.64,7.5,5.7
Lodgepole Pine,6,55,994,16.5,18.6,27.1,201,61,6,148,15.6,0.143,21,2,0,53.1,321,0.58,7.1,5.8
Lodgepole Pine,6,60,874,17.4,19.9,27.2,214,87,13,120,16.8,0.175,21,4,0,55.8,356,0.53,6.8,5.9
Lodgepole Pine,6,65,790,18.3,21.1,27.6,230,113,22,84,17.9,0.212,18,4,0,58.4,389,0.49,6.5,6
Lodgepole Pine,6,70,723,19.2,22.2,28.1,244,137,34,67,19,0.251,17,6,1,60.7,420,0.44,6.1,6
Lodgepole Pine,6,75,666,20,24.4,28.4,257,160,47,57,20.1,0.287,16,7,1,62.8,449,0.4,5.8,6
Lodgepole Pine,6,80,617,20.8,24.3,28.6,269,181,63,49,21.1,0.329,16,8,2,64.8,477,0.38,5.5,6
Lodgepole Pine,4,30,3670,7.4,8.9,22.7,56,0,0,0,0,0,0,0,0,22.7,56,1.09,6,1.9
Lodgepole Pine,4,35,3147,8.8,10.1,25.3,86,0,0,523,8.2,0.002,1,0,0,28.1,87,0.94,6.2,2.5
Lodgepole Pine,4,40,2485,10.1,11.4,25.3,103,0,0,662,9.2,0.021,14,0,0,32.5,118,0.81,6.1,3
Lodgepole Pine,4,45,2062,11.2,12.6,25.5,119,2,0,423,10.2,0.033,14,0,0,36.2,148,0.69,5.8,3.3
Lodgepole Pine,4,50,1765,12.2,13.7,25.9,133,6,0,297,11.1,0.047,14,0,0,39.4,177,0.6,5.5,3.5
Lodgepole Pine,4,55,1543,13,14.7,26.2,146,12,0,222,12,0.063,14,0,0,42.2,203,0.54,5.2,3.7
Lodgepole Pine,4,60,1367,13.8,15.7,26.4,158,19,0,176,12.9,0.08,14,0,0,44.7,229,0.48,5,3.8
Lodgepole Pine,4,65,1227,14.6,16.6,26.6,168,28,0,140,13.7,0.096,14,1,0,47,253,0.44,4.9,3.9
Lodgepole Pine,4,70,1130,15.2,17.5,27.2,181,40,2,97,14.5,0.112,11,1,0,49.2,277,0.4,4.7,4
Lodgepole Pine,4,75,1048,15.9,18.3,27.7,194,54,5,82,15.3,0.127,11,1,0,51.2,300,0.36,4.4,4
Lodgepole Pine,4,80,980,16.5,19.1,28,205,70,8,68,16,0.15,10,1,0,52.9,321,0.31,4.1,4
Sitka Spruce,24,10,3342,5.9,7.7,15.4,32,0,0,0,0,0,0,0,0,15.4,32,5.2,16.8,3.2
Sitka Spruce,24,15,2510,9.9,11.5,26.3,96,0,0,832,12.6,0.047,39,1,0,36.6,135,3.76,24.8,9
Sitka Spruce,24,20,1365,14.1,15.5,25.8,157,18,0,1145,13.6,0.073,84,4,0,52.9,279,3.01,31.4,14
Sitka Spruce,24,25,875,18.2,20.5,28.8,242,108,18,490,16.8,0.171,84,15,0,66.7,448,2.55,34.5,17.9
Sitka Spruce,24,30,625,22,25.4,31.7,333,239,99,250,21.2,0.337,84,42,8,78.5,624,2.18,34.4,20.8
Sitka Spruce,24,35,477,25.3,30.2,34.1,417,354,230,148,25.7,0.57,84,61,26,88.5,791,1.85,32.1,22.6
Sitka Spruce,24,40,383,28.2,34.6,36,487,444,350,94,30,0.879,82,70,45,97,944,1.57,28.8,23.6
Sitka Spruce,24,45,324,30.6,36.6,37.9,549,517,446,59,34.1,1.238,72,66,51,104.2,1079,1.35,25.4,24
Sitka Spruce,24,50,285,32.7,42.2,39.9,606,580,525,39,37.8,1.635,63,59,50,110.5,1198,1.17,22.4,24
Sitka Spruce,24,55,258,34.4,45.4,41.8,656,635,589,27,41.2,2.057,54,52,46,115.9,1302,1.01,19.7,23.7
Sitka Spruce,24,60,238,36,48.2,43.5,701,682,641,20,44.3,2.469,47,46,42,120.6,1395,0.86,17.2,23.2
Sitka Spruce,24,65,223,37.3,50.6,44.9,739,722,683,15,47,2.877,42,41,38,124.5,1475,0.74,14.9,22.7
Sitka Spruce,24,70,211,38.5,52.7,46,770,754,717,12,49.4,3.231,38,37,35,127.9,1544,0.64,13,22.1
